accessed_date,duration_(secs),network_protocol,ip,bytes,accessed_from,age,gender,country,membership,language,sales,returned,returned_amount,pay_method
06:17.6,4349,TCP  ,74.4.136.174,3185,Safari,,Female,US,Premium,English,0,No,0,Credit Card
06:36.8,2100,TCP  ,74.82.4.87,3185,Microsoft Edge,,Female,AR,Premium,English,0,No,0,Credit Card
09:49.7,1558,TCP  ,74.88.19.254,368,Chrome,,Female,CA,Premium,English,0,No,0,Others
06:46.4,4815,TCP  ,74.92.181.145,3185,Chrome,,Female,CH,Premium,English,0,No,0,Debit Card
06:54.0,4241,TCP  ,74.95.26.136,3185,Chrome,,Male,NO,Premium,English,0,No,0,Others
07:04.1,1947,TCP  ,75.100.110.219,3185,Mozilla Firefox,,Female,US,Premium,English,0,No,0,Others
07:04.7,4304,TCP  ,75.1.109.136,3185,Mozilla Firefox,,Male,CA,Premium,English,0,No,0,Others
07:04.7,1912,TCP  ,75.109.176.85,2267,Mozilla Firefox,,Female,AT,Premium,English,0,No,0,Credit Card
07:08.4,4619,TCP  ,75.112.42.124,3185,Android App,,Female,MX,Premium,English,0,No,0,Cash
07:13.8,1860,TCP  ,75.118.230.143,3185,Android App,,Female,US,Premium,English,0,No,0,Credit Card
07:23.3,4846,TCP  ,75.129.48.176,4085,Android App,,Female,RU,Premium,English,0,No,0,Cash
10:28.4,3054,TCP  ,75.137.59.150,2273,Android App,,Female,CN,Premium,English,0,No,0,Cash
10:43.1,4275,TCP  ,75.149.189.224,158,Android App,,Male,IT,Premium,English,0,No,0,Debit Card
07:57.3,4857,TCP  ,75.156.18.19,2567,IOS App,,Female,AU,Premium,English,0,No,0,Credit Card
11:31.5,4162,TCP  ,75.158.237.100,3421,IOS App,,Female,IT,Premium,English,0,No,0,Cash
11:40.7,3120,TCP  ,75.162.227.130,307,Microsoft Edge,,Male,IT,Premium,English,0,No,0,Cash
09:11.1,3021,TCP  ,75.172.30.130,2163,Others,,Male,GB,Premium,English,0,No,0,Debit Card
13:29.0,4973,TCP  ,75.175.11.237,413,Others,,Female,US,Premium,English,0,No,0,Cash
14:40.8,3491,TCP  ,75.68.63.93,46,Chrome,,Female,AT,Premium,English,0,No,0,Cash
12:36.7,2297,TCP  ,75.82.218.20,3081,Chrome,,Male,KR,Premium,English,0,No,0,Credit Card
17:02.2,4656,TCP  ,76.108.248.98,4606,Android App,,Male,DE,Premium,English,0,No,0,Credit Card
15:12.7,3103,TCP  ,76.109.60.200,341,Android App,,Female,US,Premium,English,0,No,0,Debit Card
17:25.4,4335,TCP  ,76.112.208.188,40,Android App,,Female,JP,Premium,English,0,No,0,Cash
16:07.5,1671,TCP  ,76.123.70.77,322,Android App,,Male,CA,Premium,English,0,No,0,Credit Card
19:06.7,2582,TCP  ,76.126.202.220,3145,Android App,,Female,DE,Premium,English,0,No,0,Credit Card
16:57.0,1941,TCP  ,76.175.82.8,3185,Chrome,,Female,CH,Premium,English,0,No,0,Credit Card
20:30.5,4354,TCP  ,76.176.184.217,1419,IOS App,,Male,RU,Premium,English,0,No,0,Credit Card
21:35.4,4886,TCP  ,76.184.35.255,46,IOS App,,Female,US,Premium,English,0,No,0,Cash
21:48.2,2776,TCP  ,76.186.174.207,92,Microsoft Edge,,Female,AT,Premium,English,0,No,0,Cash
22:06.3,3102,TCP  ,76.215.146.73,46,Safari,,Male,US,Premium,English,0,No,0,Debit Card
20:18.7,3431,TCP  ,76.253.72.210,2163,IOS App,,Female,IT,Premium,English,0,No,0,Debit Card
24:02.0,3254,TCP  ,76.29.145.18,46,IOS App,,Male,IT,Premium,English,0,No,0,Cash
24:26.6,3346,TCP  ,76.64.84.255,333,Chrome,,Female,NO,Premium,English,0,No,0,Cash
24:36.2,1587,TCP  ,76.67.175.11,40,Chrome,,Male,SE,Premium,English,0,No,0,Cash
23:10.4,3817,TCP  ,76.72.173.179,8801,Others,,Female,AT,Premium,English,0,No,0,Cash
22:24.7,3828,TCP  ,76.73.141.131,3305,Mozilla Firefox,,Male,CA,Premium,English,0,No,0,Debit Card
25:40.4,2391,TCP  ,76.90.58.78,2422,Android App,,Male,DE,Premium,English,0,No,0,Cash
23:33.6,4520,TCP  ,77.10.214.240,5113,Android App,,Female,JP,Premium,English,0,No,0,Cash
23:45.1,4730,TCP  ,77.101.225.160,2283,Android App,,Male,IT,Premium,English,0,No,0,Debit Card
24:01.8,1670,TCP  ,77.101.75.77,2555,Android App,,Female,IT,Premium,English,0,No,0,Credit Card
27:20.5,4465,TCP  ,77.102.197.158,92,Android App,,Female,CA,Premium,English,0,No,0,Credit Card
27:15.4,3806,TCP  ,77.120.33.198,3869,Mozilla Firefox,,Female,US,Premium,Spanish,0,No,0,Others
24:39.3,2841,TCP  ,77.121.245.106,3341,Chrome,,Male,KR,Premium,Russian,0,No,0,Cash
27:41.4,4849,TCP  ,77.122.90.189,5641,Chrome,,Male,GB,Premium,Russian,0,No,0,Credit Card
27:29.5,4410,TCP  ,77.123.187.193,5809,IOS App,,Female,US,Premium,Spanish,0,No,0,Credit Card
25:26.9,4156,TCP  ,77.125.1.136,2383,Microsoft Edge,,Male,PE,Premium,English,0,No,0,Cash
25:47.3,2885,TCP  ,77.166.163.84,2163,Microsoft Edge,,Male,AR,Premium,Dutch,0,No,0,Debit Card
25:47.4,3975,TCP  ,77.169.241.47,2215,IOS App,,Female,JP,Premium,Dutch,0,No,0,Others
29:04.0,1658,TCP  ,77.182.54.186,44,IOS App,,Female,AT,Premium,English,0,No,0,Cash
29:04.3,2362,TCP  ,77.185.238.226,332,IOS App,,Female,CH,Premium,English,0,No,0,Credit Card
25:57.7,3638,TCP  ,77.195.93.159,3185,Chrome,,Female,RU,Premium,English,0,No,0,Credit Card
29:05.5,1934,TCP  ,77.22.129.61,2061,Chrome,,Male,IT,Premium,German,0,No,0,Cash
26:33.2,2522,TCP  ,77.243.183.10,3185,Android App,,Female,AU,Premium,Russian,0,No,0,Cash
29:55.0,1814,TCP  ,77.249.179.190,92,Android App,,Female,PL,Premium,Dutch,0,No,0,Debit Card
26:55.1,4097,TCP  ,77.28.247.87,2267,Android App,,Male,IT,Premium,Spanish,0,No,0,Cash
26:55.1,2031,TCP  ,77.29.114.102,3185,Android App,,Female,MX,Premium,English,0,No,0,Cash
30:02.8,3014,TCP  ,77.35.35.10,413,Mozilla Firefox,,Male,IT,Premium,Russian,0,No,0,Cash
29:57.8,3256,TCP  ,77.37.220.63,420,Mozilla Firefox,,Female,PL,Premium,English,0,No,0,Cash
29:28.2,2031,TCP  ,77.45.171.200,2660,Mozilla Firefox,,Male,US,Premium,Russian,0,No,0,Cash
30:28.5,3033,TCP  ,77.58.46.251,46,Chrome,,Male,AT,Premium,English,0,No,0,Cash
30:28.5,3537,TCP  ,77.60.183.217,40,IOS App,,Male,CH,Premium,Dutch,0,No,0,Cash
27:49.5,3383,TCP  ,77.71.226.20,2287,Microsoft Edge,,Female,CN,Premium,English,0,No,0,Others
27:49.5,3678,TCP  ,77.73.9.110,3398,Microsoft Edge,,Female,CA,Premium,English,0,No,0,Cash
28:04.9,3741,TCP  ,77.79.58.257,2163,Microsoft Edge,,Female,CN,Premium,English,0,No,0,Cash
28:07.1,2856,TCP  ,77.8.118.185,2383,Safari,,Male,PE,Premium,English,0,No,0,Credit Card
28:36.8,2918,TCP  ,78.111.187.231,2267,IOS App,,Female,US,Premium,Russian,0,No,0,Credit Card
